Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,G+A-PK,xG+xAG,PrgC,PrgP,PrgR,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK_stats_shooting,PKatt_stats_shooting,xG_stats_shooting,npxG_stats_shooting,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,Ast_stats_passing,xAG_stats_passing,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP_stats_passing,Live,Dead,FK_stats_passing_types,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp_stats_passing_types,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Att_stats_defense,Tkl%,Lost,Blocks_stats_defense,Sh_stats_defense,Pass,Int,Tkl+Int,Clr,Err,SCA,SCA90,PassLive,PassDead,TO,Sh_stats_gca,Fld,Def,GCA,GCA90,Touches,Def Pen,Def 3rd_stats_possession,Mid 3rd_stats_possession,Att 3rd_stats_possession,Att Pen,Live_stats_possession,Att_stats_possession,Succ,Succ%,Tkld,Tkld%,Carries,TotDist_stats_possession,PrgDist_stats_possession,PrgC_stats_possession,1/3_stats_possession,CPA,Mis,Dis,Rec,PrgR_stats_possession,CrdY_stats_misc,CrdR_stats_misc,2CrdY,Fls,Fld_stats_misc,Off_stats_misc,Crs_stats_misc,Int_stats_misc,TklW_stats_misc,PKwon,PKcon,OG,Recov,Won,Lost_stats_misc,Won%,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt_stats_keeper,PKA,PKsv,PKm,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp_stats_keeper_adv,Att_stats_keeper_adv,Cmp%_stats_keeper_adv,Att (GK),Thr,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
1,Brenden Aaronson,us USA,FW,Leeds United,eng Premier League,24.0,2000,4,1,156,1.7,0,0,0,0,0,0,0,0,0.1,0.1,0.5,0.7,0.00,0.39,2,2,9,1,1,100.0,0.58,0.58,0.00,0.00,8.2,0,0,0,0.1,0.1,0.13,-0.1,-0.1,32,43,74.4,363,72,0,0.5,0.6,-0.5,3,2,2,0,2,38,3,2,0,0,2,1,0,0,0,0,32,9,6,5,2,2,9,66.7,3,5,0,5,0,9,4,0,4,2.31,3,0,0,0,0,1,0,0.00,77,1,21,25,32,5,77,6,4,66.7,2,33.3,36,182,81,2,1,0,5,3,36,9,0,0,0,2,4,0,2,0,6,0,0,0,7,0,2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Jones El-Abdellaoui,ma MAR,"MF,DF",Celta Vigo,es La Liga,19.0,2006,1,0,34,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0.00,0.14,5,0,15,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,21,26,80.8,320,36,0,0.1,0.1,-0.1,2,0,1,1,0,22,4,0,0,0,5,4,0,0,0,0,21,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,0,4,10.59,4,0,0,0,0,0,0,0.00,30,0,1,9,20,0,30,2,0,0.0,1,50.0,19,158,94,5,0,0,1,1,22,15,0,0,0,0,0,0,5,0,0,0,0,0,0,2,0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Himad Abdelli,dz ALG,MF,Angers,fr Ligue 1,25.0,1999,1,0,20,0.2,1,0,1,0,1,1,0,0,0.8,0.0,0.0,0.0,0.00,3.55,0,5,1,0,0,,0.00,0.00,,,,0,1,1,0.8,0.0,,+0.2,0.0,15,17,88.2,335,198,0,0.0,0.1,0.0,0,4,1,0,5,17,0,0,1,0,0,0,0,0,0,0,15,1,1,1,0,0,1,100.0,0,0,0,0,0,1,1,0,3,13.50,3,0,0,0,0,0,1,4.50,20,1,4,10,6,1,19,1,0,0.0,1,100.0,14,42,24,0,1,0,0,1,18,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Salis Abdul Samed,gh GHA,MF,Nice,fr Ligue 1,25.0,2000,3,2,136,1.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,1,1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,79,84,94.0,1037,239,0,0.0,0.0,0.0,0,6,0,0,1,83,1,1,0,0,0,0,0,0,0,0,79,2,0,2,0,0,2,50.0,1,1,0,1,1,3,0,0,1,0.66,1,0,0,0,0,0,0,0.00,92,3,17,65,10,0,92,0,0,,0,,58,296,147,1,1,0,3,1,71,0,0,0,0,3,0,0,0,1,0,0,0,0,5,3,1,75.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Saud Abdulhamid,sa KSA,DF,Lens,fr Ligue 1,26.0,1999,3,0,45,0.5,0,1,1,0,0,0,0,0,0.0,0.0,0.5,0.5,2.00,1.01,1,6,9,1,0,0.0,2.00,0.00,0.00,,11.7,0,0,0,0.0,0.0,0.05,0.0,0.0,38,44,86.4,540,236,1,0.5,0.8,+0.5,2,0,2,0,6,38,6,1,0,0,4,5,0,0,0,0,38,2,1,1,1,0,4,50.0,2,1,0,1,0,2,0,0,4,8.00,4,0,0,0,0,0,1,2.00,51,0,11,9,31,4,51,3,1,33.3,1,33.3,27,88,47,1,0,0,1,0,34,9,0,0,0,0,1,0,4,0,1,0,0,0,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,32.0,1993,4,4,360,4.0,0,0,0,0,0,0,2,0,0.1,0.1,0.3,0.4,0.00,0.11,5,27,6,5,1,20.0,1.25,0.25,0.00,0.00,25.4,0,0,0,0.1,0.1,0.02,-0.1,-0.1,235,267,88.0,4461,1415,0,0.3,0.2,-0.3,3,37,4,1,27,251,15,15,1,2,2,0,0,0,0,0,235,8,5,5,0,3,8,50.0,4,2,0,2,2,10,8,1,9,2.25,7,1,0,1,0,0,0,0.00,300,12,76,182,45,2,300,3,0,0.0,3,100.0,179,691,423,5,4,0,4,3,230,6,2,0,0,9,5,0,2,2,5,0,1,0,16,3,1,75.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Matthis Abline,fr FRA,"MF,FW",Nantes,fr Ligue 1,22.0,2003,4,1,176,2.0,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.2,0.00,0.09,9,1,5,4,1,25.0,2.05,0.51,0.00,0.00,17.3,0,0,0,0.1,0.1,0.03,-0.1,-0.1,15,27,55.6,280,64,0,0.0,0.1,0.0,2,2,1,1,1,27,0,0,0,0,3,0,0,0,0,0,15,1,0,0,0,1,0,,0,2,0,2,1,2,1,0,4,2.05,2,0,0,2,0,0,0,0.00,48,2,10,21,21,10,48,12,7,58.3,5,41.7,35,469,315,9,3,6,2,6,34,5,0,0,0,4,4,0,3,1,0,0,0,0,9,1,0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Abner,br BRA,DF,Lyon,fr Ligue 1,25.0,2000,4,4,323,3.6,0,0,0,0,0,0,2,0,0.5,0.5,0.2,0.7,0.00,0.20,6,16,13,3,1,33.3,0.84,0.28,0.00,0.00,8.4,0,0,0,0.5,0.5,0.17,-0.5,-0.5,129,154,83.8,2028,837,0,0.2,0.2,-0.2,2,15,5,1,16,129,24,3,1,1,5,20,1,0,0,0,129,7,5,4,3,0,6,66.7,2,2,1,1,3,10,12,0,6,1.67,4,0,1,1,0,0,1,0.28,189,14,67,79,44,10,189,3,1,33.3,2,66.7,100,407,268,6,1,1,1,2,121,13,2,0,0,6,1,0,5,3,5,0,0,0,8,2,2,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Zakaria Aboukhlal,ma MAR,FW,Torino,it Serie A,25.0,2000,3,0,69,0.8,0,0,0,0,0,0,1,0,0.2,0.2,0.0,0.2,0.00,0.21,5,2,0,2,2,100.0,2.61,2.61,0.00,0.00,13.1,0,0,0,0.2,0.2,0.08,-0.2,-0.2,8,12,66.7,135,62,0,0.0,0.0,0.0,0,1,0,0,2,11,1,0,0,0,1,1,0,0,0,0,8,4,3,1,2,1,3,100.0,0,1,0,1,0,4,0,0,1,1.29,0,1,0,0,0,0,0,0.00,20,0,1,12,10,3,20,3,1,33.3,1,33.3,14,174,141,5,2,2,1,0,14,0,1,0,0,2,2,2,1,0,3,0,0,0,3,1,3,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Abdel Abqar,ma MAR,DF,Getafe,es La Liga,26.0,1999,1,1,72,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.02,0,1,0,1,0,0.0,1.25,0.00,0.00,,32.5,0,0,0,0.0,0.0,0.02,0.0,0.0,22,29,75.9,462,106,0,0.0,0.0,0.0,0,2,0,0,1,27,2,1,0,2,0,1,0,0,0,0,22,2,1,2,0,0,1,100.0,0,1,0,1,2,4,2,0,0,0.00,0,0,0,0,0,0,0,0.00,39,2,23,15,1,0,39,0,0,,0,,24,104,49,0,0,0,1,0,24,0,0,0,0,1,2,0,0,2,1,0,0,0,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
